Company_ID,Company_Name,Year_Founded,Employees,Revenue,Market_Share,Product_Lines,R&D_Spending,Adoption_Rate_AI,Adoption_Rate_Cloud,Adoption_Rate_Blockchain,Company_Age,Revenue_per_Employee,Annual_Revenue_Zscore,Market_Share_Category,Total_Tech_Adoption,Founded_Decade,High_Revenue_Company
115525,Mora-Kim,2002,2168,-1.3561531267013802,-0.9620823286931879,Hardware,16874822.81,51.54,63.1,39.65,23,5.086423786075399e-05,-1.3561531267013802,Low,154.29,2000,False
779751,Myers and Sons,2001,1199,-1.229210051424038,1.5475072016662679,Hardware,32905733.95,57.78,28.83,95.42,24,0.00012229217461078492,-1.229210051424038,Low,182.03,2000,False
161950,"Barker, Sims and Walker",2008,158,0.9147124752432442,1.4628989630135836,IT Services,45386922.83,73.96,22.23,12.42,17,0.004814028695474277,0.9147124752432442,Low,108.61,2000,False
426522,Castro-Simon,1985,2826,1.0366413825797005,1.4874626452030726,Services,37711635.48,13.65,21.07,22.27,40,0.0002815057320670397,1.0366413825797005,Low,56.989999999999995,1980,False
688832,"Hughes, Mills and Stout",2011,3238,0.7235916751275397,-0.1487515184189978,Software,10117516.57,84.11,71.37,41.71,14,0.00021799948042989045,0.7235916751275397,Low,197.19000000000003,2010,False
658452,Lee Ltd,2005,2786,-1.591407525842634,0.7826214312657921,Software,1308217.06,16.75,4.2,73.39,20,1.5398503529606364e-05,-1.591407525842634,Low,94.34,2000,False
398886,Martin-Barton,1986,4776,-1.275771346023873,0.8713236169500581,Software,11535421.15,52.72,23.1,16.23,39,2.7909095492948283e-05,-1.275771346023873,Low,92.05,1980,False
263362,"Simon, Martin and Barber",1997,2444,-0.4044625031182624,1.2479667438555553,Consulting,32258576.91,98.47,15.47,24.56,28,0.00015663830389399085,-0.4044625031182624,Low,138.5,1990,False
851708,Montgomery Ltd,2008,1779,0.4218150719113188,-0.6864232285667007,IT Services,15793134.96,99.53,31.86,89.24,17,0.00034820567142583716,0.4218150719113188,Low,220.63,2000,False
977735,"Bass, Bell and Camacho",2001,3006,-0.9052193799464711,-0.9266014544194817,Software,10385978.42,4.95,32.48,58.77,24,7.964555271069588e-05,-0.9052193799464711,Low,96.2,2000,False
883408,Hoffman-Williams,1981,2356,1.6829053387067183,-0.43259851260864807,Services,7618229.01,67.11,54.01,5.67,44,0.0004162206249587151,1.6829053387067183,Low,126.79,1980,False
645184,Stone-Moreno,1996,3115,-1.6268247945550007,1.134700875981801,Hardware,30081615.41,82.5,71.75,78.93,29,1.0515968029749979e-05,-1.6268247945550007,Low,233.18,1990,False
842065,"Stone, Lee and Boyd",2011,2654,-1.416121250944886,1.2916355121924246,Consulting,49252603.57,50.33,72.37,55.0,14,3.507900130520742e-05,-1.416121250944886,Low,177.7,2010,False
681461,"Lewis, Hill and Fernandez",1994,3634,1.0705563811385466,-1.458814568525076,Hardware,20962032.77,1.97,80.49,85.24,31,0.00022158722094910732,1.0705563811385466,Low,167.7,1990,False
673702,Manning-Johnson,2006,4092,1.373863816821004,1.6198335992242079,Hardware,39471193.81,98.26,12.04,99.14,19,0.00021801339130949498,1.373863816821004,Low,209.44,2000,False
336464,Lowery LLC,1986,1215,1.750591066560708,-1.4192397472197884,Software,3312071.93,80.51,78.0,60.29,39,0.0008230452674897119,1.750591066560708,Low,218.79999999999998,1980,False
424456,Moore PLC,2011,4529,-0.8854558223487723,-1.5106712309251085,Software,3723526.77,72.03,98.38,10.23,14,5.4112282352616385e-05,-0.8854558223487723,Low,180.64,2010,False
752036,"Swanson, Harris and Ward",1993,2558,0.181383792106537,0.47148145686559834,IT Services,22287775.23,10.57,1.81,7.36,32,0.0002152470169358948,0.181383792106537,Low,19.740000000000002,1990,False
382658,King PLC,1994,134,-0.604549468298836,1.5823057514347105,Services,24973282.615000002,58.49,34.74,37.91,31,0.0024292688003837905,-0.604549468298836,Low,131.14,1990,False
771525,Gates PLC,2008,3897,1.2657580260845982,-0.2340420815769456,Software,13296769.3,55.29,82.3,0.25,17,0.00022097789883580952,1.2657580260845982,Low,137.84,2000,False
537212,Davis-Joseph,1986,1413,0.5989933836813806,0.29817103252864874,IT Services,47458690.16,27.35,52.31,48.77,39,0.0004743093983915637,0.5989933836813806,Low,128.43,1980,False
127805,Caldwell and Sons,2019,4332,0.38174802189526097,-0.5990856918929622,Services,12776845.51,75.84,93.19,71.57,6,0.00014034701508239717,0.38174802189526097,Low,240.6,2010,False
777168,Meyer Group,1998,1211,0.6767937613588354,1.3257517374556036,IT Services,24130958.44,66.01,23.67,6.23,27,0.0005718250008760813,0.6767937613588354,Low,95.91000000000001,1990,False
531345,Davis PLC,1983,3741,1.3555980359505728,0.9552495310974786,Hardware,24412920.35,38.56,74.6,92.73,42,0.00023707023345980176,1.3555980359505728,Low,205.89,1980,False
926307,Callahan-King,2010,2312,1.6701642627937048,-0.33980237989280093,IT Services,14402421.1,9.46,57.57,15.09,15,0.0004225635526168122,1.6701642627937048,Low,82.12,2010,False
911498,Thompson Inc,2008,4850,-0.9091639425548327,0.3281933107602462,Software,24960197.57,75.7,59.64,20.43,17,4.913090022940474e-05,-0.9091639425548327,Low,155.77,2000,False
982940,Garcia Inc,2016,4710,0.5606646435475391,-0.875427116524713,Services,28987172.49,50.02,11.01,70.51,9,0.0001399622901177656,0.5606646435475391,Low,131.54000000000002,2010,False
210963,Smith-Copeland,1985,3543,-1.2650109573749235,1.039175445244899,Hardware,23541175.1,30.32,52.21,56.38,40,3.849152097502536e-05,-1.2650109573749235,Low,138.91,1980,False
783173,Cook-Williams,2015,4342,0.02686859971814702,1.4942858902557083,Software,28222512.09,53.4,50.13,49.26,10,0.00011661698905869495,0.02686859971814702,Low,152.79,2010,False
185368,"Stone, Turner and Taylor",2014,2124,-0.5787038890827937,-1.284139495177599,Software,20098183.55,93.25,33.56,26.5,11,0.00015674379334896884,-0.5787038890827937,Low,153.31,2010,False
470578,Bentley-Potter,2003,4066,0.7209122170325274,0.9156747097921909,Services,14102341.92,46.83,98.36,78.09,22,0.00017341735362050824,0.7209122170325274,Low,223.28,2000,False
407634,"Hayes, Villarreal and Lopez",2019,3155,-0.6220971747138089,-1.0480552163563994,Software,48669878.26,74.13,7.56,61.93,6,0.00010158371203226786,-0.6220971747138089,Low,143.62,2010,False
694842,Lynch PLC,2013,3607,-1.241358461710621,1.2889062141713703,Consulting,20123281.69,43.47,98.13,26.67,12,3.9686495541310235e-05,-1.241358461710621,Low,168.26999999999998,2010,False
350112,Smith-Roy,2010,3369,-1.3012330594942156,-1.1892963889459611,IT Services,20511374.7,65.29,59.98,34.35,15,3.74004083753859e-05,-1.3012330594942156,Low,159.62,2010,False
275499,Baxter and Sons,1985,3007,0.34387459938233145,-1.591185522546211,IT Services,6510914.81,51.07,51.88,75.51,40,0.00019858226544924458,0.34387459938233145,Low,178.46,1980,False
441145,Brewer Group,1994,2909,0.7468199734411232,1.5120263273925614,Hardware,25538075.54,39.15,10.89,93.48,31,0.0002449414108924054,0.7468199734411232,Low,143.52,1990,False
275102,Allen-Carroll,1982,3779,0.09342369944756072,1.4083130025924973,Hardware,27639100.83,64.68,50.7,27.22,43,0.00013903450083260885,0.09342369944756072,Low,142.60000000000002,1980,False
506281,"Green, Carr and Duarte",2000,2604,0.8353520669635925,0.17467029707594015,Services,23604736.39,33.88,19.89,71.14,25,0.00028336746070891413,0.8353520669635925,Low,124.91,2000,False
